Industry,2020,2021,2022,2023,2024,2025
Accounting,4000000.0,,1000000000.0,2230200000.0,4000000.0,
Agriculture,600065040.6504065,1435857142.857143,854558823.5294118,659058823.5294118,3077645454.5454545,889666666.6666666
Airlines/Aviation,3596040000.0,5025000000.0,3833636363.6363635,5436947368.421053,5083333333.333333,5896875000.0
Alternative Medicine,1000000.0,,,,,
Apparel & Fashion,4224526315.7894735,,8333500000.0,6391909090.909091,10000000000.0,10000000000.0
Architecture & Planning,2525250000.0,3683333333.3333335,54428571.428571425,193809523.80952382,13250000.0,
"Architecture, Engineering & Design",,,,,,
Arts and Crafts,,,,,,
Automotive,3899754716.981132,3000454545.4545455,1842272727.2727273,3235681818.181818,5018875000.0,4290142857.142857
Aviation & Aerospace,366666666.6666667,,810000000.0,805666666.6666666,,
Baked Goods,2676316725.9786477,3387565217.3913045,2313833333.3333335,1768544871.7948718,5601420821.114369,2557067415.730337
Banking,1000000000.0,,10000000000.0,7502500000.0,10000000000.0,
Beverages,1797228571.4285715,1546250000.0,1208547008.5470085,3178495726.4957266,5256070663.8115635,6237730769.230769
Biotechnology,187924528.3018868,310000000.0,8200000.0,658941176.4705882,50000000.0,
Broadcast Media,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Building Materials,604055555.5555556,262750000.0,81222222.22222222,2123000000.0,50000000.0,
Business Services,1000000.0,,1000000.0,3350333333.3333335,4472333333.333333,
Business Supplies and Equipment,2476230769.230769,5005000000.0,3350333333.3333335,2515250000.0,10000000000.0,10000000000.0
Capital Markets,596146666.6666666,6000400000.0,500000000.0,1615142857.142857,876250000.0,
Chemicals,1437180790.960452,4156230769.230769,3587807692.3076925,2070113636.3636363,2024093750.0,5010000000.0
Civic & Social Organization,1000000.0,,30000000.0,1000000.0,,
Civil Engineering,1157566666.6666667,15500000.0,972619047.6190476,816540983.6065574,225333333.33333334,1000000000.0
Commercial & Residential Construction,,,,,,
Computer Hardware,3350333333.3333335,,,2503000000.0,3417000000.0,
Computer Networking,25500000.0,1000000000.0,10000000.0,50000000.0,,
Computer Software,466021428.5714286,281789473.68421054,1146418181.8181818,1403137931.0344827,6586142857.142858,2765058823.529412
Construction,3177820000.0,3812210526.3157897,1087074074.074074,1335819767.4418604,2642487179.4871793,3757363636.3636365
Consumer Electronics,3353333333.3333335,,30000000.0,40000000.0,50000000.0,
Consumer Goods,938913461.5384616,931250000.0,89535714.28571428,1421551724.137931,8333500000.0,1000000.0
Consumer Services,11105263.157894736,6800000.0,32894736.842105262,14958333.333333334,15500000.0,
Cosmetics,412200000.0,,1000000000.0,550000000.0,,
Dairy,2307793269.230769,1672040816.3265307,1583580419.5804195,2347118181.818182,6484730593.607306,1950677419.3548386
Defense & Space,2547625000.0,5083500000.0,50250000.0,3729684210.5263157,10000000000.0,
Design,525000000.0,3250000.0,9166666.666666666,197625000.0,1000000.0,1000000.0
Education Management,234888888.8888889,1000000.0,13000000.0,131733333.33333333,20333333.333333332,
Electrical/Electronic Manufacturing,610200000.0,,10000000.0,10000000.0,,
Electronics,,,,,,
Entertainment,124812500.0,310200000.0,110217391.30434783,72600000.0,546789473.6842105,25750000.0
Environmental Services,6550250000.0,10000000000.0,,2050600000.0,1000000000.0,
Events Services,10000000.0,,7000000.0,10000000.0,,
Facilities Services,62200000.0,10000000.0,10000000000.0,5500000.0,,
Farming,45555555.55555555,50000000.0,41833333.333333336,25500000.0,,
Financial Services,15500000.0,,5500000.0,253000000.0,,
Fish,95847133.75796178,42869565.217391305,16627906.976744186,274991525.4237288,41521739.13043478,29538461.53846154
Fishery,50000000.0,50000000.0,50000000.0,50000000.0,,
Food,1495418891.1704311,937387500.0,899468235.2941177,1750305135.9516616,5458409270.216963,1441081818.1818182
Food & Beverages,199598806.36604774,123850000.0,367848333.3333333,384601083.03249097,1608116161.6161616,361794871.7948718
