Industry,2020,2021,2022,2023,2024,2025
Accounting,1000000.0,,1000000000.0,100000000.0,1000000.0,
Agriculture,10000000.0,10000000.0,10000000.0,10000000.0,1000000000.0,10000000.0
Airlines/Aviation,1000000000.0,5025000000.0,1000000000.0,10000000000.0,1000000000.0,10000000000.0
Alternative Medicine,1000000.0,,,,,
Apparel & Fashion,50000000.0,,10000000000.0,10000000000.0,10000000000.0,10000000000.0
Architecture & Planning,50000000.0,1000000000.0,10000000.0,10000000.0,1000000.0,
"Architecture, Engineering & Design",,,,,,
Arts and Crafts,,,,,,
Automotive,250000000.0,1000000000.0,10000000.0,150000000.0,5025000000.0,10000000.0
Aviation & Aerospace,50000000.0,,1000000000.0,1000000000.0,,
Baked Goods,50000000.0,50000000.0,50000000.0,50000000.0,10000000000.0,50000000.0
Banking,1000000000.0,,10000000000.0,10000000000.0,10000000000.0,
Beverages,50000000.0,10000000.0,10000000.0,50000000.0,1000000000.0,10000000000.0
Biotechnology,10000000.0,50000000.0,10000000.0,10000000.0,50000000.0,
Broadcast Media,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Building Materials,10000000.0,275000000.0,50000000.0,50000000.0,50000000.0,
Business Services,1000000.0,,1000000.0,50000000.0,100000000.0,
Business Supplies and Equipment,50000000.0,5005000000.0,50000000.0,30000000.0,10000000000.0,10000000000.0
Capital Markets,500000000.0,10000000000.0,500000000.0,10000000.0,1000000000.0,
Chemicals,50000000.0,1000000000.0,75000000.0,50000000.0,50000000.0,1000000000.0
Civic & Social Organization,1000000.0,,30000000.0,1000000.0,,
Civil Engineering,10000000.0,5500000.0,10000000.0,50000000.0,50000000.0,1000000000.0
Commercial & Residential Construction,,,,,,
Computer Hardware,50000000.0,,,5500000.0,250000000.0,
Computer Networking,25500000.0,1000000000.0,10000000.0,50000000.0,,
Computer Software,1000000.0,50000000.0,10000000.0,10000000.0,10000000000.0,1000000000.0
Construction,50000000.0,250000000.0,50000000.0,50000000.0,50000000.0,250000000.0
Consumer Electronics,50000000.0,,30000000.0,50000000.0,50000000.0,
Consumer Goods,10000000.0,10000000.0,1000000.0,1000000.0,10000000000.0,1000000.0
Consumer Services,1000000.0,1000000.0,10000000.0,10000000.0,5500000.0,
Cosmetics,50000000.0,,1000000000.0,550000000.0,,
Dairy,50000000.0,50000000.0,10000000.0,10000000.0,10000000000.0,10000000.0
