Industry,2020,2021,2022,2023,2024,2025
Accounting,,,,,,
Agriculture,5928.571428571428,0.0,0.0,16965.809523809523,20324.2,5792.638461538461
Airlines/Aviation,,,,,,
Alternative Medicine,,,,,,
Apparel & Fashion,,,,,,
Architecture & Planning,,,,,,
"Architecture, Engineering & Design",,,,,,
Arts and Crafts,,,,,,
Automotive,,6500.0,,,,0.0
Aviation & Aerospace,,,,,,
Baked Goods,20068.310344827587,46184.0,6811.0,35963.9390625,12230.783783783783,4526.2962962962965
Banking,,,,,,
Beverages,18256.0,17984.0,4363.333333333333,20511.74133333333,36403.345,473.2758620689655
Biotechnology,,,,,,
Broadcast Media,,,,,,
Building Materials,,,,,,
Business Services,,,,,,
Business Supplies and Equipment,,,,,,
Capital Markets,,,,,,
Chemicals,11492.0,,,10996.25,23462.916666666668,7626.0
Civic & Social Organization,,,,,,
Civil Engineering,,,,,,
Commercial & Residential Construction,,,,,,
Computer Hardware,,,,,,
Computer Networking,,,,,,
Computer Software,,,,,51944.729999999996,
Construction,,,,,13300.0,118650.0
Consumer Electronics,,,,,,
Consumer Goods,,,8780.0,,,
Consumer Services,,,,,,
Cosmetics,,,,,,
Dairy,6640.54,5961.428571428572,5361.707317073171,16997.052631578947,13698.142857142857,4554.0
Defense & Space,,,327385.0,,,
Design,,,,,,
Education Management,,,,,,
Electrical/Electronic Manufacturing,,,,,,
Electronics,,,,,,
Entertainment,,,,,,
Environmental Services,,,,,,
Events Services,,,,,,
Facilities Services,,,,,,
Farming,,,,,,
Financial Services,,,,,,
Fish,16981.071428571428,11050.0,18653.636363636364,28874.823529411766,24271.428571428572,13274.49152542373
Fishery,,,,,,
Food,21715.208333333332,13861.153846153846,23966.82857142857,33668.533812154696,24567.056033057852,10821.570247933885
Food & Beverages,25195.0,7800.0,8934.285714285714,48932.5,,1284.0
Food Production,188333.33333333334,21257.5,58733.333333333336,7653.75,28963.333333333332,0.0
Food Service Supplier,,,,,3235.0,0.0
Food Services,,,,4090.0,,
Fruit and Veg,5499.0,9161.0,10293.333333333334,10473.57142857143,10492.380952380952,1887.8947368421052
Fund-Raising,,,,,,
Furniture,,,,,,
Gambling & Casinos,,,,,,
Government,,,,,12577.5,0.0
Government Administration,,,,,,
Government Organisations,,,5000.0,,,0.0
Graphic Design,,,,,,
Grocery Retail,,,,,,
"Health, Wellness and Fitness",,,,,,
Healthcare,,,0.0,11645.0,15682.222222222223,0.0
Healthcare Services,,,,,,
Higher Education,,,,,,5030.0
Hospital & Health Care,,,,,,0.0
Hospitality,5597.65,12277.692307692309,19074.64285714286,10279.445255474453,7829.871428571429,4281.77570093458
Human Resources,,,,,,
Import and Export,,,,,,
Individual & Family Services,,,,,,
Industrial Automation,,,,,,
Information Services,,,,,,
Information Technology and Services,,,,,,
Insurance,,,,,,
International Affairs,,,,,,
International Trade and Development,,,,,,
Investment Banking,,,,,,
Investment Management,,,,,,
Legal Services,,,,,,
"Leisure, Travel & Tourism",,,,,,
Logistics,43762.142857142855,167523.38461538462,22506.832,23323.0,18837.0224,987.0689655172414
Logistics and Supply Chain,,,,,10400.0,
Luxury Goods & Jewelry,,,,,,
Machinery,,,,,,
Management Consulting,,,,,,
Manufacturing,0.0,,5720.0,26170.0,21383.0,0.0
Marine Shipping & Transportation,,,,,,
Maritime,,,,,,
Marketing and Advertising,,,,,,
Meat,19657.844155844155,32983.0,26552.303030303032,31951.279569892475,29652.18363636364,2055.304918032787
Mechanical or Industrial Engineering,9600.0,,,8892.0,,0.0
Media Production,,,,,,
Medical Devices,,,,,,
Mental Health Care,,,,,,
Mining & Metals,,,6300.0,,,
Museums and Institutions,,,,,,
Music,,,,,,
Nanotechnology,,,,,,
Newspapers,,,,,,
Non-Profit Organization Management,,,,,,
Oil & Energy,,,,,,
Other,2460.0,7816.0,5300.0,13776.810000000001,11889.797777777778,2555.5897435897436
Outsourcing/Offshoring,,,,,,
Package/Freight Delivery,,,,,,
Packaging and Containers,,,,,51944.729999999996,
Paper & Forest Products,,,,,,
Performing Arts,,,,,,
Pet Food,9151.111111111111,9806.363636363636,27592.0,17326.521739130436,18162.499166666665,1014.375
Pharma,45312.72,20088.0,72142.36842105263,51377.98410958904,28911.840697674415,10014.759493670887
Pharmaceuticals,0.0,,64200.0,,79126.0,0.0
Photography,,,,,,
Plastics,,,,,,
Printing,,,,,,
Professional Training & Coaching,0.0,,,,,
Public Relations and Communications,,,,,,
Public Safety,,,,,,
Publishing,,,,,,
Real Estate,,,,,,
Recreational Facilities and Services,,,,,,
Renewables & Environment,,,,,,
Research,,,,,,
Restaurants,2125.0,,,,,19074.0
Retail,24141.064516129034,10920.0,6376.666666666667,17074.862068965518,16021.003968253968,1660.0
Security and Investigations,,,,,,
Services / Gov,5637.5,0.0,23884.797647058822,16785.51851851852,11958.653846153846,9060.666666666666
Specialised,,,,4246.666666666667,10807.0,962.0677966101695
Sporting Goods,,,,,,
Sports,,,,,,
Staffing and Recruiting,,,,,,
Supplier,,,,,,
Telecommunications,,,,,,
Temperature Control,10850.0,,2507.5,5021.003891050584,23730.495555555553,9616.994146341463
Textiles,,,,,,
Tobacco,,,,,,
Transportation/Trucking/Railroad,,809707.0,,,,
Unchecked,,,,,,981.8181818181819
Unknown Industry,23219.090909090908,19953.333333333332,20237.5,7583.333333333333,45950.0,186.16438356164383
Utilities,,,,,,
Veterinary,,,,,,
Warehousing,,,,,,
Wholesale,,,,,,
Wine and Spirits,,,,,,
Wireless,,,,,,
