Industry,2020,2021,2022,2023,2024,2025
Accounting,,,,,,
Agriculture,5280.0,0.0,0.0,3900.0,4680.0,0.0
Airlines/Aviation,,,,,,
Alternative Medicine,,,,,,
Apparel & Fashion,,,,,,
Architecture & Planning,,,,,,
"Architecture, Engineering & Design",,,,,,
Arts and Crafts,,,,,,
Automotive,,6500.0,,,,0.0
Aviation & Aerospace,,,,,,
Baked Goods,6840.0,10400.0,3100.0,14790.0,7800.0,0.0
Banking,,,,,,
Beverages,16350.0,26392.0,5200.0,17625.0,8315.84,0.0
Biotechnology,,,,,,
Broadcast Media,,,,,,
Building Materials,,,,,,
Business Services,,,,,,
Business Supplies and Equipment,,,,,,
Capital Markets,,,,,,
Chemicals,11492.0,,,9647.5,7075.0,0.0
Civic & Social Organization,,,,,,
Civil Engineering,,,,,,
Commercial & Residential Construction,,,,,,
Computer Hardware,,,,,,
Computer Networking,,,,,,
Computer Software,,,,,54809.46,
Construction,,,,,13300.0,118650.0
Consumer Electronics,,,,,,
Consumer Goods,,,8780.0,,,
Consumer Services,,,,,,
Cosmetics,,,,,,
Dairy,4680.0,6500.0,2800.0,5600.0,6340.0,0.0
Defense & Space,,,327385.0,,,
Design,,,,,,
Education Management,,,,,,
Electrical/Electronic Manufacturing,,,,,,
Electronics,,,,,,
Entertainment,,,,,,
Environmental Services,,,,,,
Events Services,,,,,,
Facilities Services,,,,,,
Farming,,,,,,
Financial Services,,,,,,
Fish,3645.0,11050.0,5340.0,8295.0,3875.0,0.0
Fishery,,,,,,
Food,0.0,8030.0,8480.0,7320.0,10400.0,0.0
Food & Beverages,4810.0,7800.0,6480.0,49235.0,,0.0
Food Production,0.0,21257.5,70200.0,975.0,22940.0,0.0
Food Service Supplier,,,,,3235.0,0.0
Food Services,,,,4090.0,,
Fruit and Veg,5505.0,5030.0,5960.0,3425.0,6070.0,0.0
Fund-Raising,,,,,,
Furniture,,,,,,
Gambling & Casinos,,,,,,
Government,,,,,12577.5,0.0
Government Administration,,,,,,
Government Organisations,,,5000.0,,,0.0
Graphic Design,,,,,,
Grocery Retail,,,,,,
"Health, Wellness and Fitness",,,,,,
Healthcare,,,0.0,12480.0,4160.0,0.0
Healthcare Services,,,,,,
Higher Education,,,,,,5030.0
Hospital & Health Care,,,,,,0.0
Hospitality,4075.0,4850.0,4180.0,3380.0,3075.0,0.0
Human Resources,,,,,,
Import and Export,,,,,,
Individual & Family Services,,,,,,
Industrial Automation,,,,,,
Information Services,,,,,,
Information Technology and Services,,,,,,
Insurance,,,,,,
International Affairs,,,,,,
International Trade and Development,,,,,,
Investment Banking,,,,,,
Investment Management,,,,,,
Legal Services,,,,,,
"Leisure, Travel & Tourism",,,,,,
Logistics,13710.0,15600.0,4150.0,6240.0,5230.0,0.0
Logistics and Supply Chain,,,,,10400.0,
Luxury Goods & Jewelry,,,,,,
Machinery,,,,,,
Management Consulting,,,,,,
Manufacturing,0.0,,5720.0,0.0,7540.0,0.0
Marine Shipping & Transportation,,,,,,
Maritime,,,,,,
Marketing and Advertising,,,,,,
Meat,2320.0,0.0,4660.0,5030.0,4650.0,0.0
Mechanical or Industrial Engineering,9600.0,,,12636.0,,0.0
Media Production,,,,,,
Medical Devices,,,,,,
Mental Health Care,,,,,,
Mining & Metals,,,6300.0,,,
Museums and Institutions,,,,,,
Music,,,,,,
Nanotechnology,,,,,,
Newspapers,,,,,,
Non-Profit Organization Management,,,,,,
Oil & Energy,,,,,,
Other,2460.0,5200.0,0.0,0.0,4450.0,0.0
Outsourcing/Offshoring,,,,,,
Package/Freight Delivery,,,,,,
Packaging and Containers,,,,,54809.46,
Paper & Forest Products,,,,,,
Performing Arts,,,,,,
Pet Food,5300.0,5200.0,20084.0,15600.0,7855.0,0.0
Pharma,0.0,1800.0,8780.0,22150.0,2500.0,0.0
Pharmaceuticals,0.0,,64200.0,,79126.0,0.0
Photography,,,,,,
Plastics,,,,,,
Printing,,,,,,
Professional Training & Coaching,0.0,,,,,
Public Relations and Communications,,,,,,
Public Safety,,,,,,
Publishing,,,,,,
Real Estate,,,,,,
Recreational Facilities and Services,,,,,,
Renewables & Environment,,,,,,
Research,,,,,,
Restaurants,2125.0,,,,,7740.0
Retail,7800.0,4680.0,0.0,5540.0,5720.0,0.0
Security and Investigations,,,,,,
Services / Gov,4980.0,0.0,22230.0,3275.0,4650.0,0.0
Specialised,,,,6370.0,2955.0,0.0
Sporting Goods,,,,,,
Sports,,,,,,
Staffing and Recruiting,,,,,,
Supplier,,,,,,
Telecommunications,,,,,,
Temperature Control,10850.0,,2315.0,0.0,2375.0,0.0
Textiles,,,,,,
Tobacco,,,,,,
Transportation/Trucking/Railroad,,809707.0,,,,
Unchecked,,,,,,0.0
Unknown Industry,0.0,17540.0,9360.0,6000.0,4435.0,0.0
Utilities,,,,,,
Veterinary,,,,,,
Warehousing,,,,,,
Wholesale,,,,,,
Wine and Spirits,,,,,,
Wireless,,,,,,
